paragraphs,fitness score,obligation costs,so costs,resource costs,costs
blood_donation_scenario_r14_v1,0,0,0,0,0.0
blood_donation_scenario_r14_v2,0,0,0,0,0.0
blood_donation_scenario_r15_v1,0,0,0,0,0.0
blood_donation_scenario_r15_v2,0,0,0,0,0.0
blood_donation_scenario_r16_v1,0,0,0,0,0.0
blood_donation_scenario_r17_v1,0,0,0,0,0.0
blood_donation_scenario_r17_v2,0,0,0,0,0.0
blood_donation_scenario_r18_v2,0.7943,0.0,0,0.0,0.0
blood_donation_scenario_r19_v1,0,0,0,0,0.0
blood_donation_scenario_r19_v2,0,0,0,0,0.0
blood_donation_scenario_r20_v1,0,0,0,0,0.0
blood_donation_scenario_r20_v2,0,0,0,0,0.0
